Lemma,Stem,Paradigm,Class,Translation,Source
iniwen,iniwen,PRONDem+NA+ObvSg,PRONDem+NA+ObvSg,NONE,https://ojibwe.lib.umn.edu/main-entry/iniwen-pron-dem-cdd9e904-2cde-42f8-a3e6-3697b935fc06
iniwen,iniwen,PRONDem+NI+Pl,PRONDem+NI+Pl,NONE,https://ojibwe.lib.umn.edu/main-entry/iniwen-pron-dem-cdd9e904-2cde-42f8-a3e6-3697b935fc06
iw,iw,PRONDem+NI+Sg,PRONDem+NI+Sg,NONE,https://ojibwe.lib.umn.edu/main-entry/iw-pron-dem
iwe,iwe,PRONDem+NI+Sg,PRONDem+NI+Sg,NONE,
o'o,o'ow2,PRONDem+NI+Sg,PRONDem+NI+Sg,NONE,https://ojibwe.lib.umn.edu/main-entry/o-o-pron-dem
o'ow,o'ow,PRONDem+NI+Sg,PRONDem+NI+Sg,NONE,https://ojibwe.lib.umn.edu/main-entry/o-ow-pron-dem
o'owe,o'owe,PRONDem+NI+Sg,PRONDem+NI+Sg,NONE,https://ojibwe.lib.umn.edu/main-entry/o-owe-pron-dem
o'owedi,o'owediw2,PRONDem+NI+Sg,PRONDem+NI+Sg,NONE,https://ojibwe.lib.umn.edu/main-entry/o-owedi-pron-dem
ogow,ogow,PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,NONE,https://ojibwe.lib.umn.edu/main-entry/ogow-pron-dem
ogowe,ogowe,PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,NONE,https://ojibwe.lib.umn.edu/main-entry/ogowe-pron-dem
ogowedi,ogowediw2,PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,NONE,https://ojibwe.lib.umn.edu/main-entry/ogowedi-pron-dem
ogowedig,ogowedig,PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,NONE,https://ojibwe.lib.umn.edu/main-entry/ogowedig-pron-dem
ogoweg,ogoweg,PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,NONE,https://ojibwe.lib.umn.edu/main-entry/ogoweg-pron-dem
ongow,ongow,PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,NONE,https://ojibwe.lib.umn.edu/main-entry/ongow-pron-dem
ongowedig,ongowedig,PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,NONE,https://ojibwe.lib.umn.edu/main-entry/ongowedig-pron-dem
ono,onow2,PRONDem+NA+ObvPl,PRONDem+NA+ObvPl,NONE,https://ojibwe.lib.umn.edu/main-entry/ono-pron-dem
ono,onow2,PRONDem+NA+ObvSg,PRONDem+NA+ObvSg,NONE,https://ojibwe.lib.umn.edu/main-entry/ono-pron-dem
ono,onow2,PRONDem+NI+Pl,PRONDem+NI+Pl,NONE,https://ojibwe.lib.umn.edu/main-entry/ono-pron-dem
onow,onow,PRONDem+NA+ObvPl,PRONDem+NA+ObvPl,NONE,https://ojibwe.lib.umn.edu/main-entry/onow-pron-dem-c275e8c9-a0d9-4230-a9ef-520f030dda0f
onow,onow,PRONDem+NA+ObvSg,PRONDem+NA+ObvSg,NONE,https://ojibwe.lib.umn.edu/main-entry/onow-pron-dem-c275e8c9-a0d9-4230-a9ef-520f030dda0f
onow,onow,PRONDem+NI+Pl,PRONDem+NI+Pl,NONE,https://ojibwe.lib.umn.edu/main-entry/onow-pron-dem-c275e8c9-a0d9-4230-a9ef-520f030dda0f
onowe,onowe,PRONDem+NA+ObvPl,PRONDem+NA+ObvPl,NONE,https://ojibwe.lib.umn.edu/main-entry/onowe-pron-dem-63afa5d9-2e34-4d4a-8fab-9be713da6d66
