Lemma,Stem,Paradigm,Class,Translation,Source
gigizhebaa,gigizhebaa,PVLex,PVLex,"morning",https://ojibwe.lib.umn.edu/main-entry/gigizhebaa-pv-lex
ningodwaaso,ningodwaasow2,PVQnt,PVQnt,"six",https://ojibwe.lib.umn.edu/main-entry/ningodwaaso-pv-qnt
wiishkobi,wiishkobiw2,PVLex,PVLex,"sweet",https://ojibwe.lib.umn.edu/main-entry/wiishkobi-pv-lex
ishkwaa,ishkwaa,PVLex,PVLex,"when something has stopped, is over, is done; after",https://ojibwe.lib.umn.edu/main-entry/ishkwaa-pv-lex
ziiwiski,ziiwiskiw2,PVLex,PVLex,"sour",https://ojibwe.lib.umn.edu/main-entry/ziiwiksi-pv-lex
gichi,gichiw2,PVLex,PVLex,"big; great; very, quite",https://ojibwe.lib.umn.edu/main-entry/gichi-pv-lex
niiyo,niiyow2,PVQnt,PVQnt,"four",https://ojibwe.lib.umn.edu/main-entry/niiyo-pv-qnt
zhiibaa,zhiibaa,PVLex,PVLex,"(in the space) under something",https://ojibwe.lib.umn.edu/main-entry/zhiibaa-pv-lex
naawi,naawiw2,PVLex,PVLex,"in the middle of",https://ojibwe.lib.umn.edu/main-entry/naawi-pv-lex
gagwe,gagwe,PVLex,PVLex,"try",https://ojibwe.lib.umn.edu/main-entry/gagwe-pv-lex
gashkii,gashkii,PVLex,PVLex,"",https://ojibwe.lib.umn.edu/main-entry/gashkii-pv-lex
asho,ashow2,PVLex,PVLex,"be ready to",https://ojibwe.lib.umn.edu/main-entry/asho-pv-lex
biisadaawangi,biisadaawangiw2,PVLex,PVLex,"granulated, sand-like, powder",https://ojibwe.lib.umn.edu/main-entry/biisadaawangi-pv-lex
bagaki,bagakiw2,PVLex,PVLex,"bright",https://ojibwe.lib.umn.edu/main-entry/bagaki-pv-lex
gagaanwaabiigi,gagaanwaabiigiw2,PVLex,PVLex,"long and stringy (especially plural)",https://ojibwe.lib.umn.edu/main-entry/gagaanwaabiigi-pv-lex
biichi,biichiw2,PVLex,PVLex,"a long stretch of time; a long distance, far",https://ojibwe.lib.umn.edu/main-entry/biichi-pv-lex
waabani,waabaniw2,PVLex,PVLex,"east",https://ojibwe.lib.umn.edu/main-entry/waabani-pv-lex
naabe,naabe,PVLex,PVLex,"male",https://ojibwe.lib.umn.edu/main-entry/naabe-pv-lex
jiigewe,jiigewe,PVLex,PVLex,"along the shore",https://ojibwe.lib.umn.edu/main-entry/jiigewe-pv-lex
midaaso,midaasow2,PVQnt,PVQnt,"ten",https://ojibwe.lib.umn.edu/main-entry/midaaso-pv-qnt
gwayako,gwayakow2,PVLex,PVLex,"",https://ojibwe.lib.umn.edu/main-entry/gwayako-pv-lex
ashi-niiyo,ashi-niiyow2,PVQnt,PVQnt,"and four",https://ojibwe.lib.umn.edu/main-entry/ashi-niiyo-pv-qnt
eyedawi,eyedawiw2,PVLex,PVLex,"on both sides of something",https://ojibwe.lib.umn.edu/main-entry/eyedawi-pv-lex
aanji,aanjiw2,PVLex,PVLex,"change",https://ojibwe.lib.umn.edu/main-entry/aanji-pv-lex
ishkwe,ishkwe,PVLex,PVLex,"at the end",https://ojibwe.lib.umn.edu/main-entry/ishkwe-pv-lex
mangi,mangiw2,PVLex,PVLex,"big",https://ojibwe.lib.umn.edu/main-entry/mangi-pv-lex
wiimaa,wiimaa,PVLex,PVLex,"go around something, make a detour",https://ojibwe.lib.umn.edu/main-entry/wiimaa-pv-lex
opime,opime,PVLex,PVLex,"on its side; to the side",https://ojibwe.lib.umn.edu/main-entry/opime-pv-lex
ashi-naano,ashi-naanow2,PVQnt,PVQnt,"and five",https://ojibwe.lib.umn.edu/main-entry/ashi-naano-pv-qnt
bagami,bagamiw2,PVLex,PVLex,"arriving",https://ojibwe.lib.umn.edu/main-entry/bagami-pv-lex
nanda,nandaw2,PVLex,PVLex,"seek; look for",https://ojibwe.lib.umn.edu/main-entry/nanda-pv-lex
zhaangaso,zhaangasow2,PVQnt,PVQnt,"nine",https://ojibwe.lib.umn.edu/main-entry/zhaangaso-pv-qnt
anama'e,anama'e,PVLex,PVLex,"church, Christian",https://ojibwe.lib.umn.edu/main-entry/anama-e-pv-lex
