Lemma,Stem,Paradigm,Class,Translation,Source
inigokwadeyaabiigad,inigokwadeyaabiigad,VII,VII_d,"it is a certain width, is so wide (as something string-like)",https://ojibwe.lib.umn.edu/main-entry/inigokwadeyaabiigad-vii
biidoondan,biidoond,VTI,VTI_am,"bring it on back",https://ojibwe.lib.umn.edu/main-entry/biidoondan-vti
na'isidoon,na'isid,VTI,VTI_oo,"put it in order, put it away; adjust it",https://ojibwe.lib.umn.edu/main-entry/na-isidoon-vti2
baaskikwe',baaskikwe'w1,VTA,VTA_Cw,"bleed h/ medicinally",https://ojibwe.lib.umn.edu/main-entry/baasikwe-vta-cb43ec1e-ad9a-4980-ab8a-0ae71bae81e5
agwaabikiz,agwaabikizw1,VTA,VTA_Cw,"burn h/ to the pan",https://ojibwe.lib.umn.edu/main-entry/agwaabikiz-vta
zaagaakosidoon,zaagaakosid,VTI,VTI_oo,"put it (something stick- or wood-like) so it sticks out",https://ojibwe.lib.umn.edu/main-entry/zaagaakosidoon-vti2
babaamidaabii',babaamidaabii',VTA,VTA_C,"drive it (animate; an animal or means of transportation) about",https://ojibwe.lib.umn.edu/main-entry/babaamidaabii-vta
babaamiwane,babaamiwane,VAI,VAI_VV,"s/he carries a pack about",https://ojibwe.lib.umn.edu/main-entry/babaamiwane-vai
ozhidaabaanike,ozhidaabaanike,VAI,VAI_VV,"s/he gets h/ sled ready, packs h/ sled",https://ojibwe.lib.umn.edu/main-entry/ozhidaabaanike-vai
ozhaashibidoon,ozhaashibid,VTI,VTI_oo,"have it slip from grasp",https://ojibwe.lib.umn.edu/main-entry/ozhaashibidoon-vti2
gawiweba'an,gawiweba',VTI,VTI_am,"knock it down (using something)",https://ojibwe.lib.umn.edu/main-entry/gawiweba-an-vti
gaaskaagonebizo,gaaskaagonebizo,VAI,VAI_V,"s/he drives on crunchy snow",https://ojibwe.lib.umn.edu/main-entry/gaaskaagonebizo-vai
animidaabii',animidaabii',VTA,VTA_C,"drive it (animate; an animal or means of transportation) away (in the other direction)",https://ojibwe.lib.umn.edu/main-entry/animidaabii-vta
dabasenim,dabasenim,VTA,VTA_C,"hold h/ in low regard",https://ojibwe.lib.umn.edu/main-entry/dabasenim-vta
nitiike,nitiike,VAI,VAI_VV,"s/he makes tea",https://ojibwe.lib.umn.edu/main-entry/nitiike-vai
zhakizi,zhakizi,VAI,VAI_V,"s/he or it (animate) is damp",https://ojibwe.lib.umn.edu/main-entry/zhakizi-vai
ningakamigide,ningakamigide,VII,VII_VV,"the ground thaws",https://ojibwe.lib.umn.edu/main-entry/ningakamigide-vii
mazinibii'ige,mazinibii'ige,VAI,VAI_VV,"s/he draws, paints a picture of something",https://ojibwe.lib.umn.edu/main-entry/mazinibii-ige-vai
ningiigwaji,ningiigwaji,VAI,VAI_V,"it (animate) is frosted",https://ojibwe.lib.umn.edu/main-entry/ningiigwaji-vai
debabi,debabi,VAI,VAI_V,"s/he has enough room to sit",https://ojibwe.lib.umn.edu/main-entry/debabi-vai
danin,danin,VTA,VTA_C,"hold h/ in a certain place",https://ojibwe.lib.umn.edu/main-entry/danin-vta
maanashkinatoon,maanashkinat,VTI,VTI_oo,"fill it poorly, fit it in poorly",https://ojibwe.lib.umn.edu/main-entry/maanashkinatoon-vti2
zazegaa'o,zazegaa'o,VAI,VAI_V,"s/he dresses up",https://ojibwe.lib.umn.edu/main-entry/zazegaa-o-vai
biimaskowebinan,biimaskowebin,VTI,VTI_am,"spin it around",https://ojibwe.lib.umn.edu/main-entry/biimaskowebinan-vti
mangigaade,mangigaade,VAI,VAI_VV,"s/he has a big leg or big legs",https://ojibwe.lib.umn.edu/main-entry/mangigaade-vai
gaandanaamo,gaandanaamo,VAI,VAI_V,"s/he holds h/ breath while pushing (as in giving birth)",https://ojibwe.lib.umn.edu/main-entry/gaandanaamo-vai
zhaagwenimo,zhaagwenimo,VAI,VAI_V,"s/he is reluctant, is afraid to do something, is introverted, lacks self confidence",https://ojibwe.lib.umn.edu/main-entry/zhaagwenimo-vai
gawiwebishkan,gawiwebishk,VTI,VTI_am,"knock it over, down (with foot or body); kick it over, down",https://ojibwe.lib.umn.edu/main-entry/gawiwebishkan-vti
agaasiboodoon,agaasibood,VTI,VTI_oo,"saw, file it small",https://ojibwe.lib.umn.edu/main-entry/agaasiboodoon-vti2
waangawizi,waangawizi,VAI,VAI_V,"it (animate) is gentle, is tame",https://ojibwe.lib.umn.edu/main-entry/waangawizi-vai
gashkapizo,gashkapizo,VAI,VAI_V,"s/he or it (animate) is tied shut, is tied up in a bundle",https://ojibwe.lib.umn.edu/main-entry/gashkapizo-vai
odaabaanaakoke,odaabaanaakoke,VAI,VAI_VV,"s/he makes sleds, makes sleighs",https://ojibwe.lib.umn.edu/main-entry/odaabaanaakoke-vai
minodaabaane,minodaabaane,VAI,VAI_VV,"s/he has a nice car",https://ojibwe.lib.umn.edu/main-entry/minodaabaane-vai
mooshkinegaamo,mooshkinegaamo,VAI,VAI_V,"s/he is full of fat",https://ojibwe.lib.umn.edu/main-entry/mooshkinegaamo-vai
miskobagizi,miskobagizi,VAI,VAI_V,"s/he (a tree) has red leaves",https://ojibwe.lib.umn.edu/main-entry/miskobagizi-vai
nooji'ikwewe,nooji'ikwewe,VAI,VAI_VV,"he goes after a woman or women, courts a woman",https://ojibwe.lib.umn.edu/main-entry/nooji-ikwewe-vai
nisoogwaade,nisoogwaade,VII,VII_VV,"",https://ojibwe.lib.umn.edu/main-entry/nisoogwaade-vii
gashkiiginigaade,gashkiiginigaade,VII,VII_VV,"it is wrapped (by someone), 'they' wrap it",https://ojibwe.lib.umn.edu/main-entry/gashkiiginigaade-vii
biidaawajige,biidaawajige,VAI,VAI_VV,"s/he hauls things here",https://ojibwe.lib.umn.edu/main-entry/biidaawajige-vai
gitige,gitige,VAI,VAI_VV,"s/he plants, gardens, farms",https://ojibwe.lib.umn.edu/main-entry/gitige-vai
gagitige,gagitige,VAI,VAI_VV,"s/he plants, gardens, farms",https://ojibwe.lib.umn.edu/main-entry/gitige-vai
biimaakwa'o,biimaakwa'o,VAI,VAI_V,"s/he is buttoned up crooked",https://ojibwe.lib.umn.edu/main-entry/biimaakwa-o-vai
giiwewijigaade,giiwewijigaade,VII,VII_VV,"it is carried, taken home (by someone), 'they' carry, take it home",https://ojibwe.lib.umn.edu/main-entry/giiwewijigaade-vii
boogijiiwii,boogijiiwii,VAI,VAI_VV,"s/he farts lifting or in exertion",https://ojibwe.lib.umn.edu/main-entry/boogijiiwii-vai
agaasitaagozi,agaasitaagozi,VAI,VAI_V,"s/he sounds like someone small",https://ojibwe.lib.umn.edu/main-entry/agaasitaagozi-vai
nandomaam,nandomaam,VTA,VTA_C,"sniff for h/; smell for h/",https://ojibwe.lib.umn.edu/main-entry/nandomaam-vta
gakakizhwi,gakakizhw1,VTA,VTA_Cw,"cut it (animate) square",https://ojibwe.lib.umn.edu/main-entry/gakakizhwi-vta
niinamendan,niinamend,VTI,VTI_am,"think it weak",https://ojibwe.lib.umn.edu/main-entry/niinamendan-vti
ozidaa,ozidaa,VAI,VAI_VV,"s/he has a foot or feet",https://ojibwe.lib.umn.edu/main-entry/ozidaa-vai
ombiwane,ombiwane,VAI,VAI_VV,"s/he lifts a pack to h/ (own) back",https://ojibwe.lib.umn.edu/main-entry/ombiwane-vai
biinjidawaanimad,biinjidawaanimad,VII,VII_d,"the wind blows into river or bay from a lake",https://ojibwe.lib.umn.edu/main-entry/biinjidawaanimad-vii
biniwebandan,biniweband,VTI,VTI_am,"knock it down with mouth, bite it so it comes down",https://ojibwe.lib.umn.edu/main-entry/biniwebandan-vti
gagwejim,gagwejim,VTA,VTA_C,"ask, question h/",https://ojibwe.lib.umn.edu/main-entry/gagwejim-vta
gagagwejim,gagagwejim,VTA,VTA_C,"ask, question h/",https://ojibwe.lib.umn.edu/main-entry/gagwejim-vta
biidaajimotaw,biidaajimotaw,VTA,VTA_aw,"bring the news to h/",https://ojibwe.lib.umn.edu/main-entry/biidaajimotaw-vta
zhaangaso-biboonagad,zhaangaso-biboonagad,VII,VII_d,"it is nine years",https://ojibwe.lib.umn.edu/main-entry/zhaangaso-biboonagad-vii
zhooshkwadin,zhooshkwadin,VII,VII_n,"it freezes smooth, is frozen smooth",https://ojibwe.lib.umn.edu/main-entry/zhooshkwadin-vii
maajinizhikaw,maajinizhikaw,VTA,VTA_aw,"chase h/ off",https://ojibwe.lib.umn.edu/main-entry/maajinizhikaw-vta
anishinaabekwewi,anishinaabekwewi,VAI,VAI_V,"s/he is an Indian woman",https://ojibwe.lib.umn.edu/main-entry/anishinaabekwewi-vai
