Lemma,Stem,Paradigm,Class,Translation,Source
niminaawe,niminaawe,PNLex,PNLex,NONE,UnpublishedOPD
nishike,nishike,PNLex,PNLex,NONE,UnpublishedOPD
ningodwaaso,ningodwaasow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/ningodwaaso-pv-qnt
niso,nisow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/niso-pv-qnt
niizhwaaso,niizhwaasow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/niizhwaaso-pv-qnt
niiwo,niiwow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/niiwo-pv-qnt
ningo,ningow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/ningo-pv-qnt
nitaa,nitaa,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/nitaa-pv-lex
nishwaaso,nishwaasow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/nishwaaso-pv-qnt
noozhe,noozhe,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/noozhe-pv-lex
nooji,noojiw2,PNLex,PNLex,NONE,UnpublishedOPD
noonde,noonde,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/noonde-pv-lex
ogiji,ogijiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ogiji-pv-lex
niigaani,niigaaniw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/niigaani-pv-lex
ojibwe,ojibwe,PNLex,PNLex,NONE,UnpublishedOPD
ondami,ondamiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ondami-pv-lex
ojaanimi,ojaanimiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ojaanimi-pv-lex
ondaasi,ondaasiw2,PNLex,PNLex,NONE,UnpublishedOPD
onzaami,onzaamiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/onzaami-pv-lex
opaa,opaa,PNLex,PNLex,NONE,UnpublishedOPD
opime,opime,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/opime-pv-lex
ozaawi,ozaawiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ozaawi-pv-lex
waasamoo,waasamoo,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/waasamoo-pv-lex
wani,waniw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/wani-pv-lex
ozhaawashko,ozhaawashkow2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ozhaawashko-pv-lex
waawiye,waawiye,PNLex,PNLex,NONE,UnpublishedOPD
waabishki,waabishkiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/waabishki-pv-lex
wanako,wanakow2,PNLex,PNLex,NONE,UnpublishedOPD
wagiji,wagijiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/wagiji-pv-lex
wake,wake,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/wake-pv-lex
oshki,oshkiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/oshki-pv-lex
wiisagi,wiisagiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/wiisagi-pv-lex
zaabi,zaabiw2,PNLex,PNLex,NONE,UnpublishedOPD
wiinge,wiinge,PNLex,PNLex,NONE,UnpublishedOPD
zaagiji,zaagijiw2,PNLex,PNLex,NONE,UnpublishedOPD
zhaangaso,zhaangasow2,PNQnt,PNQnt,NONE,https://ojibwe.lib.umn.edu/main-entry/zhaangaso-pv-qnt
wiiji,wiijiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/wiiji-pv-lex
wiishkobi,wiishkobiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/wiishkobi-pv-lex
zhiibaa,zhiibaa,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/zhiibaa-pv-lex
zhigaji,zhigajiw2,PNLex,PNLex,NONE,UnpublishedOPD
zhiiwi,zhiiwiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/zhiiwi-pv-lex
biisi,biisiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/biisi-pv-lex
bibine,bibine,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/bibine-pv-lex
bigishki,bigishkiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/bigishki-pv-lex
bigii,bigii,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/bigii-pv-lex
gigizhebaa,gigizhebaa,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/gigizhebaa-pv-lex
waabi,waabiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/waabi-pv-lex
aabitaa,aabitaa,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/aabitaa-pv-lex
aapiji,aapijiw2,PNLex,PNLex,NONE,UnpublishedOPD
gashkii,gashkii,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/gashkii-pv-lex
giiwe,giiwe,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/giiwe-pv-lex
biiwaabiko,biiwaabikow2,PNLex,PNLex,NONE,UnpublishedOPD
zazegaa,zazegaa,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/zazegaa-pv-lex
gwayako,gwayakow2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/gwayako-pv-lex
waanda,waandaw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/waanda-pv-lex
gimooji,gimoojiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/gimooji-pv-lex
nisawi,nisawiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/nisawi-pv-lex
waasiko,waasikow2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/waasiko-pv-lex
daki,dakiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/daki-pv-lex
oke,oke,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/oke-pv-lex
dibi,dibiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/dibi-pv-lex
biini,biiniw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/biini-pv-lex
biimasko,biimaskow2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/biimasko-pv-lex
waabanoo,waabanoo,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/waabanoo-pv-lex
desi,desiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/desi-pv-lex
mangi,mangiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/mangi-pv-lex
niisi,niisiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/niisi-pv-lex
eyiidawi,eyiidawiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/eyiidawi-pv-lex
ishkwe,ishkwe,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ishkwe-pv-lex
gijigi,gijigiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/gijigi-pv-lex
waabijii,waabijii,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/waabijii-pv-lex
miigwechiwi,miigwechiwiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/miigwechiwi-pv-lex
biisadaawangi,biisadaawangiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/biisadaawangi-pv-lex
goshko,goshkow2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/goshko-pv-lex
ozhaashi,ozhaashiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ozhaashi-pv-lex
noosooki,noosookiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/noosooki-pv-lex
wiimaa,wiimaa,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/wiimaa-pv-lex
aazhawi,aazhawiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/aazhawi-adv-conj
oko,okow2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/oko-pv-lex
naabi,naabiw2,PNLex,PNLex,NONE,UnpublishedOPD
ginwaako,ginwaakow2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ginwaako-pv-lex
ginwaakojii,ginwaakojii,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ginwaakojii-pv-lex
biinishi,biinishiw2,PNLex,PNLex,NONE,UnpublishedOPD
biichi,biichiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/biichi-pv-lex
ayaangwaami,ayaangwaamiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ayaangwaami-pv-lex
chi,chiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/chi-pv-lex
aabaakawi,aabaakawiw2,PNLex,PNLex,NONE,UnpublishedOPD
agaasi,agaasiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/agaasi-pv-lex
gagaanwaabiigi,gagaanwaabiigiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/gagaanwaabiigi-pv-lex
giiwitaawi,giiwitaawiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/giiwitaawi-pv-lex
meshkoji,meshkojiw2,PNLex,PNLex,NONE,UnpublishedOPD
giiwitaa,giiwitaa,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/giiwitaa-pv-lex
gipagi,gipagiw2,PNLex,PNLex,NONE,UnpublishedOPD
biisaawangi,biisaawangiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/biisaawangi-pv-lex
nishkaaji,nishkaajiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/nishkaaji-pv-lex
besho,beshow2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/besho-pv-lex
waabani,waabaniw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/waabani-pv-lex
zhaawani,zhaawaniw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/zhaawani-pv-lex
