Lemma,Stem,Paradigm,Class,Translation,Source
midaasweg,midaasweg,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaasweg-adv-num
midaaswemikwaanens,midaaswemikwaanens,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaswemikwaanens-adv-num
midaaswewaan,midaaswewaan,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaswewaan-adv-num
midaaswi,midaaswiw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/midaaswi-adv-num
naanoonag,naanoonag,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/naanoonag-adv-num
naanimidana,naanimidanaw2,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/naanimidana-adv-num
naanooshkimod,naanooshkimod,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/naanooshkimod-adv-num
naanooshkin,naanooshkin,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/naanooshkin-adv-num
naanosagoons,naanosagoons,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/naanosagoons-adv-num
naanwaabik,naanwaabik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/naanwaabik-adv-num
naano-anama'e-giizhik,naano-anama'e-giizhik,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/naano-anama-e-giizhik-adv-num
naanwaak,naanwaak,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/naanwaak-adv-num
naano-biboon,naano-biboon,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/naano-biboon-adv-num
naanweg,naanweg,NUM,NUM,NONE,https://ojibwe.lib.umn.edu/main-entry/naanweg-adv-num
