Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source,
NI,NI_C,waawanogegan,waawanogegan,NONE,NONE,NONE,NONE,NONE,Sg,waawanogegan,,,
NI,NI_C,waawanogegan,waawanogegan,NONE,NONE,NONE,NONE,NONE,Pl,waawanogeganan,,,
NI,NI_Cw,waapijiibizoniigin,waapijiibizoniiginw,NONE,NONE,NONE,NONE,NONE,Sg,waapijiibizoniigin,,,
NA,NA_Cw,waatebagaa-giizis,waatebagaa-giizisw,NONE,NONE,NONE,NONE,NONE,ProxSg,waatebagaa-giizis,,,
NI,NI_VV,waasigani-bimide,waasigani-bimidew,NONE,NONE,NONE,NONE,NONE,Sg,waasigani-bimide,,,
NA,NA_Vw,bimaawazhiwewinini,bimaawazhiwewininiw,NONE,NONE,NONE,NONE,NONE,ProxPl,bimaawazhiwewininiwag,,,
NA,NA_Vw,bimaawazhiwewinini,bimaawazhiwewininiw,NONE,NONE,NONE,NONE,NONE,ProxSg,bimaawazhiwewinini,,,
NI,NI_C,waasamoobii'igan,waasamoobii'igan,NONE,NONE,NONE,NONE,NONE,Sg,waasamoobii'igan,,,
NI,NI_C,waasamoobii'igan,waasamoobii'igan,NONE,NONE,NONE,NONE,NONE,Pl,waasamoobii'iganan,,,
NA,NA_C,waakoonsiwi-bakwezhigan,waakoonsiwi-bakwezhigan,NONE,NONE,NONE,NONE,NONE,ProxSg,waakoonsiwi-bakwezhigan,,,
NA,NA_C,aazhide-waagosh,aazhide-waagosh,NONE,NONE,NONE,NONE,NONE,ProxSg,aazhide-waagosh,,,
NA,NA_C,aazhide-waagosh,aazhide-waagosh,NONE,NONE,NONE,NONE,NONE,ProxPl,aazhide-waagoshag,,,
NA,NA_C,aazhide-waagosh,aazhide-waagosh,NONE,Dim,NONE,NONE,NONE,ProxSg,aazhide-waagoshens,,,
NI,NI_C,aazhooningwa'on,aazhooningwa'on,NONE,NONE,NONE,NONE,NONE,Sg,aazhooningwa'on,,,
NI,NI_C,aazhooningwa'on,aazhooningwa'on,NONE,NONE,NONE,NONE,NONE,Pl,aazhooningwa'onan,,,
